id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
64,seltener,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",3,6,5,6,4,3,6,4,5,4,4,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,0,Ja,27,weiblich,21,Studium,600
65,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt",3,6,4,5,6,4,6,6,5,,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,,weiblich,20,Studium,400
66,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,4,3,6,6,4,4,6,4,4,4,6,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Ja,16,männlich,20,Studium,600
67,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",3,4,2,6,,4,4,4,4,2,4,4,wöchentlich,100 Euro oder mehr,,0,0,0,Ja,19,weiblich,21,Erwerbstätigkeit,
68,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig",4,6,5,5,,3,4,5,4,4,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,0,1,Nein,19,weiblich,26,Erwerbstätigkeit,2300
69,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",6,6,5,6,4,4,6,6,4,6,5,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Ja,31,weiblich,,Studium,500
70,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,4,5,6,5,4,4,5,5,5,5,5,,25 Euro bis weniger als 50 Euro,Supermarkt,0,1,0,Ja,13,weiblich,26,Studium,600
71,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",4,6,4,6,5,5,6,4,,4,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,0,1,Nein,18,weiblich,21,Studium,700
72,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",3,4,4,4,4,4,3,3,4,4,4,4,einmal im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,1,0,Ja,20,weiblich,22,Studium,700
73,täglich,"ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt",3,,3,3,4,2,3,4,3,4,3,4,mehrmals im Monat,,Drogerien,1,0,0,Ja,19,weiblich,26,Studium,700
74,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,4,4,6,5,1,5,4,5,4,4,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,22,weiblich,24,Studium,
75,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",3,6,5,6,5,5,6,4,6,4,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,1,1,1,Ja,,weiblich,27,Studium,200
76,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",2,5,5,5,5,3,4,5,6,5,3,6,wöchentlich,50 Euro bis weniger als 100 Euro,Online_Handel,0,0,0,Ja,19,weiblich,19,Ausbildung,1000
77,seltener,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst",,"nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,6,5,6,3,,5,4,5,4,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,0,Ja,24,weiblich,24,Studium,
78,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",4,6,6,6,6,3,6,6,4,6,6,6,mehrmals im Monat,,Apotheke oder spezialisierter Fachhandel,1,1,0,Ja,36,divers,,Studium,600
79,seltener,"nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,4,5,5,4,4,5,5,4,3,4,4,seltener,weniger als 10 Euro,Supermarkt,1,1,1,Nein,21,,18,Sonstiges,
80,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",3,6,6,5,6,1,6,4,6,6,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,0,Nein,9,männlich,17,Ausbildung,500
81,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",3,,3,5,4,3,4,4,3,3,5,5,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,22,,25,Studium,700
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig",3,4,4,5,,4,5,4,5,4,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Ja,17,,24,Sonstiges,1200
85,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",4,5,3,4,3,3,4,4,4,3,3,4,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,0,1,0,Ja,18,weiblich,20,Studium,600
86,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,6,6,6,6,6,6,2,6,6,6,6,seltener,,Drogerien,0,0,1,Nein,15,männlich,,Sonstiges,1000
87,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,5,4,4,5,5,5,3,4,6,4,5,seltener,0 Euro,,1,1,0,Ja,18,divers,27,Sonstiges,1700
88,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,5,4,4,4,4,5,4,4,4,4,5,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,18,weiblich,29,Erwerbstätigkeit,2400
89,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,5,5,4,4,3,4,3,3,5,5,5,einmal im Monat,weniger als 10 Euro,Supermarkt,1,1,0,Ja,,männlich,27,Erwerbstätigkeit,2600
90,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",6,4,4,6,4,4,4,6,6,6,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,0,Ja,20,weiblich,26,Studium,600
91,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig",3,6,4,5,6,4,6,4,4,4,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Nein,12,,26,Studium,300
92,mehrmals wöchentlich,"ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,6,5,6,4,3,6,6,4,4,6,6,seltener,,Drogerien,1,0,1,Nein,15,weiblich,25,Studium,400
93,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",5,,3,2,6,2,6,4,5,4,,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,1,1,Nein,14,,28,Erwerbstätigkeit,
94,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",,4,6,6,6,6,6,6,6,6,6,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Ja,17,weiblich,,Erwerbstätigkeit,4500
95,,"ja, manchmal","nein, nie","nein, nie","nein, nie","nein, nie",,"ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",3,3,4,4,4,2,3,4,4,2,4,3,,100 Euro oder mehr,Drogerien,0,0,0,Ja,13,weiblich,24,Ausbildung,800
96,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,4,5,5,,3,5,4,5,5,4,6,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,17,divers,24,Sonstiges,1400
97,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig",,"ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",4,3,3,3,3,4,4,3,3,3,4,4,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,0,0,1,Nein,10,weiblich,22,Studium,600
98,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,6,4,6,6,4,6,5,6,6,6,6,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,0,0,1,Nein,13,weiblich,25,Ausbildung,500
99,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",3,4,3,4,4,4,4,4,4,4,4,4,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,0,0,0,Nein,9,weiblich,25,Studium,700
100,,"ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",,"ja, vereinzelt",3,5,,5,4,3,5,4,5,4,3,4,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,1,1,0,Ja,24,weiblich,18,Ausbildung,400
101,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",,5,6,4,4,,5,4,6,4,1,5,5,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,0,Ja,13,männlich,18,Ausbildung,400
102,mehrmals wöchentlich,"nein, nie","nein, nie","ja, manchmal","nein, nie","nein, nie","ja, manchmal","ja, manchmal","nein, nie","ja, regelmäßig","nein, nicht bewusst",,"ja, vereinzelt","ja, regelmäßig",4,3,3,4,4,3,3,2,4,3,3,3,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,Nein,21,männlich,27,Erwerbstätigkeit,
103,mehrmals wöchentlich,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",3,5,5,4,4,4,4,5,4,4,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,18,weiblich,17,Schule,100
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,mehrmals wöchentlich,"ja, manchmal","ja, manchmal",,"nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig",,"nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",5,6,5,4,4,4,5,5,4,3,5,6,einmal im Monat,weniger als 10 Euro,Supermarkt,0,0,1,Nein,7,männlich,17,Ausbildung,
106,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",4,6,6,6,6,4,6,6,,6,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,0,0,Ja,13,weiblich,22,Studium,500
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",4,5,2,6,6,,5,5,5,2,5,4,,,Drogerien,0,1,1,Nein,15,weiblich,24,Sonstiges,1000
109,mehrmals wöchentlich,"nein, nie","ja, manchmal","nein, nie",,"nein, nie","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",2,6,2,4,3,1,4,2,3,1,3,4,seltener,10 Euro bis weniger als 25 Euro,Drogerien,0,0,1,Nein,9,,31,Studium,400
110,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,5,6,6,3,6,6,6,6,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Ja,13,weiblich,26,Studium,500
111,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",4,5,4,6,6,2,5,6,4,4,5,5,einmal im Monat,weniger als 10 Euro,Supermarkt,1,1,0,Ja,,weiblich,31,Erwerbstätigkeit,3300
112,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",6,6,4,6,6,4,,4,6,3,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,0,Nein,5,divers,22,Erwerbstätigkeit,3900
113,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig",,"ja, regelmäßig","ja, regelmäßig",3,6,6,6,6,3,6,6,6,6,6,6,wöchentlich,100 Euro oder mehr,Apotheke oder spezialisierter Fachhandel,1,1,0,Ja,29,weiblich,20,Studium,500
114,täglich,"ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig",,"ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",4,5,4,4,3,4,3,3,3,3,5,4,wöchentlich,100 Euro oder mehr,Apotheke oder spezialisierter Fachhandel,0,0,1,Nein,17,weiblich,27,Ausbildung,800
115,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig",3,6,4,6,6,2,6,,6,6,6,6,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,1,1,1,,28,weiblich,19,Sonstiges,1700
116,mehrmals wöchentlich,"ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig",5,4,4,4,3,2,3,2,4,3,4,5,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,0,Nein,10,weiblich,25,Studium,200
117,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig",,"ja, vereinzelt",6,2,2,6,6,2,4,4,4,2,6,2,mehrmals im Monat,100 Euro oder mehr,Supermarkt,0,1,0,,22,weiblich,18,Schule,200
118,seltener,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,3,5,3,3,4,5,4,5,3,4,5,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Ja,17,weiblich,30,Studium,200
119,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,6,5,6,6,6,5,6,6,4,4,6,,10 Euro bis weniger als 25 Euro,,1,0,1,Nein,20,weiblich,22,Erwerbstätigkeit,2500
120,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig",4,5,3,5,5,3,4,4,3,4,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,1,1,Nein,23,weiblich,29,Erwerbstätigkeit,
121,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",,"ja, regelmäßig",4,4,4,5,6,4,6,4,5,4,6,6,wöchentlich,100 Euro oder mehr,Apotheke oder spezialisierter Fachhandel,1,0,1,Nein,22,weiblich,22,Studium,900
122,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",5,4,6,6,6,5,6,4,6,6,6,6,seltener,weniger als 10 Euro,Supermarkt,1,1,1,Nein,23,weiblich,19,Studium,600
123,mehrmals wöchentlich,"ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",3,4,5,5,2,3,3,3,3,4,5,4,einmal im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,1,0,Ja,30,weiblich,19,Ausbildung,500
124,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,6,5,6,4,3,6,5,4,3,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,18,weiblich,32,Ausbildung,
125,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,5,5,4,5,3,5,5,4,5,4,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,0,Ja,23,weiblich,24,Studium,500
